algorithm,dataset_size,speedup
bubble,100,1.0211600429645769
bubble,500,0.8356307114649734
bubble,1000,1.1123486379300798
insertion,100,1.0385539411966667
insertion,500,0.8280404740344093
insertion,1000,1.0921648454235209
merge,100,0.9315265188906946
merge,500,1.323386736452454
merge,1000,0.9064794297461076
quick,100,0.9218839747271109
quick,500,0.8308934220573545
quick,1000,0.9805133939583258
